sa2_name16, num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, total_dwelings, sa2_main16, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
"Knoxfield - Scoresby",106,2342,1447,755,5133,"211011254",5027,112,373
"Craigieburn - South",118,1969,1381,731,4752,"210051443",4628,133,414
"Lysterfield",39,854,237,420,1925,"211011255",1881,14,355
"Rowville - North",55,1148,564,443,2534,"211011257",2481,50,266
"Rowville - South",66,1542,619,667,3312,"211011258",3249,33,391
"Wantirna",109,2163,1314,716,4792,"211011259",4687,154,334
"Wantirna South",154,2427,1621,970,6036,"211011260",5879,329,529
"Rowville - Central",114,2172,1211,872,5043,"211011256",4932,112,563
"Boronia",278,3215,3089,969,8510,"211011446",8234,487,468
"Ferntree Gully (North)",155,2050,1822,604,5242,"211011447",5083,269,338
"Croydon Hills - Warranwood",121,2712,1235,1000,5807,"211031265",5688,83,665
"Ringwood",206,2283,2692,552,6579,"211031266",6375,544,296
"Ferntree Gully (South) - Upper Ferntree Gully",115,2208,1397,799,5088,"211011448",4977,152,427
"Ringwood East",177,3085,2590,810,7367,"211031267",7190,337,366
"Ringwood North",51,1504,794,487,3175,"211031268",3127,62,279
"The Basin",48,657,330,265,1466,"211011449",1419,35,133
"Donvale - Park Orchards",120,2210,1197,919,5221,"211021261",5096,163,615
"Warrandyte - Wonga Park",68,1261,455,655,3041,"211021262",2973,28,576
"Croydon - East",192,2196,2456,565,6015,"211031450",5823,363,245
"Croydon - West",153,1949,1827,547,5051,"211031451",4894,298,274
"Bayswater North",115,1671,1260,555,4127,"211031263",4007,164,357
"Forest Hill",115,1569,1456,358,3939,"211041269",3826,303,142
"Mitcham (Vic.)",138,2394,2424,525,6088,"211041270",5951,376,235
"Vermont",81,1693,1166,415,3671,"211041272",3594,117,195
"Vermont South",61,1814,1015,604,3913,"211041273",3850,117,303
"Nunawading",132,1628,1697,380,4294,"211041271",4163,299,159
"Belgrave - Selby",81,1444,763,561,3321,"211051274",3238,55,415
"Chirnside Park",84,1507,818,523,3355,"211051275",3266,81,344
"Healesville - Yarra Glen",201,1892,1414,764,4962,"211051276",4760,156,535
"Kilsyth",104,1325,1126,428,3386,"211051277",3281,154,252
"Lilydale - Coldstream",194,2584,1936,1005,6663,"211051278",6463,287,652
"Monbulk - Silvan",52,755,437,341,1891,"211051279",1842,40,273
"Montrose",48,912,496,429,2218,"211051280",2165,57,278
"Mooroolbark",173,3231,2016,1081,7463,"211051281",7285,248,704
"Mount Dandenong - Olinda",80,1609,881,511,3460,"211051282",3372,58,308
"Pakenham - North",161,2743,2117,761,6318,"212011291",6156,165,366
"Mount Evelyn",79,1325,738,559,3186,"211051283",3106,64,423
"Endeavour Hills - South",123,1847,1078,721,4276,"212021454",4157,115,391
"Lynbrook - Lyndhurst",95,2107,863,642,4059,"212031306",3965,55,296
"Pearcedale - Tooradin",93,1030,476,506,2554,"212031308",2455,39,401
"Upwey - Tecoma",70,1465,916,542,3408,"211051284",3331,102,308
"Wandin - Seville",69,1004,430,501,2472,"211051285",2400,34,432
"Yarra Valley",252,2081,1791,929,5876,"211051286",5627,188,627
"Beaconsfield - Officer",101,1956,1041,642,4231,"212011287",4129,76,409
"Bunyip - Garfield",103,1007,582,534,2822,"212011288",2717,64,530
"Emerald - Cockatoo",165,2436,1089,1128,5774,"212011289",5611,77,887
"Koo Wee Rup",113,908,565,479,2487,"212011290",2381,73,351
"Pakenham - South",289,3915,3154,1148,9428,"212011292",9141,412,507
"Berwick - North",205,3295,2509,1091,8134,"212021293",7932,383,653
"Berwick - South",141,3888,1752,1181,7643,"212021294",7503,114,567
"Doveton",240,1142,1401,368,3771,"212021295",3531,398,223
"Hallam",133,1323,1030,446,3340,"212021297",3202,155,254
"Narre Warren North",58,774,201,532,2126,"212021299",2072,14,551
"Endeavour Hills - North",104,1553,910,630,3713,"212021453",3604,100,405
"Narre Warren - North East",123,1837,1028,714,4208,"212021455",4088,92,419
"Narre Warren - South West",160,1891,1444,601,4631,"212021456",4469,231,305
"Narre Warren South (East)",66,1719,593,731,3630,"212031457",3561,29,495
"Narre Warren South (West)",135,2161,1015,771,4611,"212031458",4474,74,450
"Clarinda - Oakleigh South",112,1452,1251,588,3900,"212041309",3785,222,276
"Clayton South",156,1344,1751,420,4292,"212041310",4137,419,200
"Dandenong",609,2487,4119,786,9789,"212041311",9179,1323,464
"Dandenong North",319,2751,2367,967,7388,"212041312",7070,474,512
"Dingley Village",93,1594,987,560,3626,"212041313",3539,100,294
"Noble Park - East",227,1369,1984,345,4510,"212041459",4281,436,148
"Keysborough",258,3375,1905,1351,7836,"212041314",7583,263,679
"Noble Park North",75,964,887,316,2573,"212041316",2501,181,149
"Springvale",361,1977,2489,760,6662,"212041317",6298,711,370
"Springvale South",135,1348,1111,601,3731,"212041318",3594,241,297
"Noble Park - West",298,1932,2305,688,6070,"212041460",5774,575,265
"Ashwood - Chadstone",190,2582,2297,651,6501,"212051319",6316,534,255
"Clayton",235,1705,3029,432,6973,"212051320",6736,1404,166
"Glen Waverley - East",130,3068,2227,963,7084,"212051321",6953,328,362
"Glen Waverley - West",151,2606,2178,756,6406,"212051322",6254,369,346
"Mount Waverley - North",124,2241,1831,707,5401,"212051323",5275,210,291
"Mount Waverley - South",173,2584,2192,772,6361,"212051324",6188,301,338
"Mulgrave",171,2891,1853,892,6504,"212051325",6333,249,446
"Oakleigh - Huntingdale",230,2739,2788,724,7502,"212051326",7270,702,315
"Wheelers Hill",168,2992,1747,1013,6727,"212051327",6560,260,553
"Ardeer - Albion",195,749,1193,211,2867,"213011328",2675,410,109
"Cairnlea",57,1127,483,550,2564,"213011329",2506,58,286
"Keilor Downs",136,1702,1213,693,4354,"213011332",4213,172,428
"Deer Park - Derrimut",328,3336,2410,1032,7868,"213011330",7543,325,440
"Delahey",80,1008,766,419,2639,"213011331",2554,148,214
"Kings Park (Vic.)",213,1611,1442,569,4371,"213011333",4151,265,269
"St Albans - North",385,1980,2503,706,6652,"213011334",6268,745,328
"Altona North",213,1738,1936,478,5079,"213021343",4862,510,203
"St Albans - South",305,1655,1865,630,5299,"213011335",4995,551,293
"Sunshine North",187,1165,1230,495,3640,"213011337",3451,344,215
"Sunshine",158,945,1325,281,3234,"213011336",3072,403,115
"Sydenham",103,1432,1195,507,3659,"213011339",3556,154,273
"Sunshine West",312,2040,2137,742,6052,"213011338",5741,498,324
"Taylors Lakes",141,2138,1008,1169,5379,"213011340",5233,128,784
"Altona",167,1736,2105,424,5129,"213021341",4968,457,248
"Newport",171,2612,2580,534,6507,"213021344",6338,400,212
"Seabrook",42,682,508,220,1631,"213021345",1583,39,133
"Williamstown",173,2145,2035,565,5643,"213021346",5472,502,223
"West Footscray - Tottenham",159,1264,1955,257,4309,"213031351",4152,572,105
"Braybrook",298,1926,2388,569,6176,"213031347",5882,757,240
"Footscray",306,1225,3025,221,6441,"213031348",6134,1565,93
"Maribyrnong",101,1604,1783,410,4403,"213031349",4304,317,179
"Seddon - Kingsville",88,1112,1723,169,3617,"213031350",3524,466,52
"Yarraville",136,2006,2407,350,5534,"213031352",5394,511,127
"Bacchus Marsh",254,2736,2053,1076,7099,"213041353",6844,287,691
"Hillside",151,2825,1283,1035,6007,"213041355",5856,80,642
"Melton",272,2349,2164,848,6497,"213041356",6230,332,531
"Melton South",343,3136,2500,922,7755,"213041357",7410,404,451
